Participant,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,SUS Score
1,5,1,4,1,4,2,5,1,5,1,92.5
2,5,1,4,1,5,1,5,2,5,2,92.5
3,5,4,5,2,5,2,5,2,2,2,75.0
4,5,2,5,4,5,2,5,5,4,2,72.5
5,5,2,5,2,5,1,4,1,4,1,90.0
6,5,3,3,3,2,4,5,2,1,1,57.5
7,4,1,5,2,4,3,4,2,4,2,77.5
8,1,3,4,1,4,1,3,4,2,2,57.5
9,2,2,2,1,4,3,3,2,3,3,57.5
10,4,1,4,1,4,1,4,1,4,1,87.5
11,5,1,5,1,5,1,5,1,5,1,100.0
12,3,1,5,1,5,1,4,1,4,1,90.0
13,3,1,3,1,4,1,4,3,3,1,75.0
14,3,3,3,1,4,1,5,2,5,1,80.0
15,2,1,5,1,5,2,4,1,5,1,87.5
16,3,1,4,2,5,1,4,1,3,2,80.0
17,2,2,4,1,2,2,4,3,3,2,62.5
18,5,1,5,1,3,3,5,1,5,4,82.5
19,5,2,3,2,4,4,4,2,4,1,72.5
21,3,1,4,2,3,3,4,1,3,3,67.5
22,3,3,3,2,3,4,2,3,5,1,57.5
23,3,2,4,1,3,1,4,2,4,2,75.0
24,4,1,5,1,4,2,5,1,4,2,87.5
25,4,1,1,1,1,4,4,2,3,2,57.5
26,5,1,5,1,5,2,5,1,5,1,97.5
27,5,1,5,2,4,2,5,1,5,3,87.5
28,4,2,4,1,4,2,4,4,2,2,67.5
29,4,1,1,1,4,1,4,1,5,2,80.0
30,5,1,5,1,5,1,5,1,5,1,100.0
31,2,2,4,3,4,2,4,2,1,5,52.5
33,4,1,1,2,3,3,4,1,2,1,65.0
34,5,1,4,2,4,2,5,2,4,5,75.0
35,5,1,5,1,4,1,5,1,5,1,97.5
36,4,1,5,1,5,1,5,1,3,2,90.0
37,3,2,4,1,3,3,4,3,4,2,67.5
38,4,1,3,1,4,1,5,1,4,1,87.5
39,5,1,5,2,5,2,5,1,4,4,85.0
40,2,2,4,1,3,3,2,3,2,2,55.0
41,4,1,5,1,4,2,5,1,3,1,87.5
